time,open,high,low,close,Volume,Volume MA
2020-08-03T17:00:00Z,1.43,1.44,1.41,1.42,90432.41241879,222864.9726063605
2020-08-04T17:00:00Z,1.42,1.61,1.41,1.56,774269.64723915,260243.23969713348
2020-08-05T17:00:00Z,1.59,2.1,1.54,1.88,1112860.55248501,315265.80186817097
2020-08-06T17:00:00Z,1.88,2.3,1.71,2.12,1565271.79069049,388931.16060513747
2020-08-07T17:00:00Z,2.12,2.95,2,2.8,3615231.22688257,563001.4645290554
2020-08-08T17:00:00Z,2.79,4.05,2.76,3.36,7797959.19064809,947535.8978663165
2020-08-09T17:00:00Z,3.36,3.49,2.91,3.22,3553589.45427108,1104016.1203384846
2020-08-10T17:00:00Z,3.17,3.26,2.71,2.81,3021530.69960707,1252252.8501007692
2020-08-11T17:00:00Z,2.85,3.14,2.3,3.1,3278328.4224087,1408777.22062244
2020-08-12T17:00:00Z,3.1,3.22,2.89,2.96,2107870.54533423,1511796.739002733
2020-08-13T17:00:00Z,2.99,3.1,2.81,2.9,2597114.60209537,1624614.506897754
2020-08-14T17:00:00Z,2.9,3.09,2.87,2.98,1836151.05278103,1698270.571713734
2020-08-15T17:00:00Z,2.99,3.07,2.95,2.98,1380494.44209341,1751375.5304284259
2020-08-16T17:00:00Z,2.98,3.08,2.96,3,1619965.76592304,1825463.3091700468
2020-08-17T17:00:00Z,3,3.01,2.7,2.82,2189296.0785967,1902424.1873165867
2020-08-18T17:00:00Z,2.81,2.87,2.54,2.67,1296450.0278006,1955511.3935634922
2020-08-19T17:00:00Z,2.67,2.75,2.56,2.71,980808.49938439,1986027.8432887867
2020-08-20T17:00:00Z,2.71,2.87,2.7,2.73,1671167.75063604,2060705.2882921193
2020-08-21T17:00:00Z,2.72,3.5,2.71,2.9,6537941.35666209,2364838.115706
2020-08-22T17:00:00Z,2.9,3.07,2.85,2.89,1018139.61942821,2402243.6568693025
2020-08-23T17:00:00Z,2.85,3.03,2.83,2.93,891252.52119917,2442284.6623083213
2020-08-24T17:00:00Z,2.94,2.95,2.7,2.7,611021.56912641,2434122.2584026847
2020-08-25T17:00:00Z,2.7,2.82,2.62,2.68,404510.03055535,2398704.732306202
2020-08-26T17:00:00Z,2.67,2.94,2.67,2.81,1147761.77827559,2377829.231685457
2020-08-27T17:00:00Z,2.8,3.5,2.78,3.4,4300003.18716387,2412067.8296995214
2020-08-28T17:00:00Z,3.43,3.75,3.17,3.24,2282386.29543755,2136289.1849389942
2020-08-29T17:00:00Z,3.2,3.47,3.17,3.19,740708.53889044,1995645.1391699626
2020-08-30T17:00:00Z,3.21,3.29,3.05,3.06,1312279.31844794,1910182.5701120063
2020-08-31T17:00:00Z,3.06,3.13,3.02,3.06,742725.1731432,1783402.4076487315
2020-09-01T17:00:00Z,3.03,3.25,2.99,3,1195502.8532549,1737784.023044765
2020-09-02T17:00:00Z,3.06,3.19,2.77,2.77,664976.90868948,1641177.1383744706
2020-09-03T17:00:00Z,2.77,2.9,2.6,2.81,652198.08673615,1581979.4900722266
2020-09-04T17:00:00Z,2.79,2.89,2.5,2.59,606710.85654298,1543290.310794705
2020-09-05T17:00:00Z,2.6,2.6,2.3,2.44,532766.99842095,1488930.3724196004
2020-09-06T17:00:00Z,2.42,2.59,2.2,2.39,273783.61262118,1393154.7491208245
2020-09-07T17:00:00Z,2.37,2.44,2.26,2.34,147222.67068276,1335693.3812649325
2020-09-08T17:00:00Z,2.35,2.41,2.27,2.4,88966.95432583,1291101.3040120045
2020-09-09T17:00:00Z,2.39,2.54,2.38,2.5,478208.78562643,1231453.3557615238
2020-09-10T17:00:00Z,2.49,2.69,2.46,2.62,484432.81857006,928777.9288569223
